Unnamed: 0,property_type,price,location,city,baths,purpose,bedrooms,Area_in_Marla
0,Flat,10000000,G-10,Islamabad,2,For Sale,2,4.0
1,Flat,6900000,E-11,Islamabad,3,For Sale,3,5.6
2,House,16500000,G-15,Islamabad,6,For Sale,5,8.0
3,House,43500000,Bani Gala,Islamabad,4,For Sale,4,40.0
4,House,7000000,DHA Defence,Islamabad,3,For Sale,3,8.0
7,Flat,7800000,E-11,Islamabad,2,For Sale,2,6.2
9,Penthouse,40000000,F-11,Islamabad,5,For Sale,5,20.0
10,Flat,35000000,Diplomatic Enclave,Islamabad,3,For Sale,3,7.1
13,Flat,13500000,DHA Defence,Islamabad,5,For Sale,3,10.0
14,Flat,3600000,E-11,Islamabad,1,For Sale,1,3.1
15,Flat,5000000,E-11,Islamabad,2,For Sale,2,4.0
16,House,19000000,DHA Defence,Islamabad,3,For Sale,3,10.0
18,House,26900000,B-17,Islamabad,6,For Sale,6,20.0
21,House,4500000,Bhara kahu,Islamabad,3,For Sale,3,5.0
24,House,4500000,Garden Town,Islamabad,4,For Sale,4,4.7
25,House,6800000,Koral Town,Islamabad,4,For Sale,4,4.0
26,House,20000000,Soan Garden,Islamabad,5,For Sale,6,12.0
27,Flat,19400000,Blue Area,Islamabad,1,For Sale,1,4.3
29,Flat,8000000,G-11,Islamabad,2,For Sale,2,6.7
30,Flat,6300000,E-11,Islamabad,3,For Sale,3,5.3
32,House,4500000,Ghauri Town,Islamabad,3,For Sale,2,5.0
33,House,12500000,I-16,Islamabad,5,For Sale,6,8.0
35,House,110000,DHA Defence,Islamabad,5,For Rent,5,20.0
36,House,600000,F-7,Islamabad,6,For Rent,6,40.0
37,Lower Portion,33000,G-15,Islamabad,2,For Rent,2,8.0
38,House,45000,Pakistan Town,Islamabad,5,For Rent,3,24.0
40,House,175000,F-7,Islamabad,4,For Rent,4,13.3
41,Lower Portion,17000,Islamabad Expressway,Islamabad,2,For Rent,2,5.0
44,Lower Portion,200000,F-6,Islamabad,3,For Rent,3,16.0
46,Lower Portion,60000,G-8,Islamabad,2,For Rent,2,9.3
48,House,40000000,Multan Road,Lahore,5,For Sale,5,20.0
51,House,21000000,Allama Iqbal Town,Lahore,5,For Sale,6,11.0
53,House,16500000,Military Accounts Housing Society,Lahore,7,For Sale,6,8.0
57,House,13500000,Eden,Lahore,4,For Sale,4,7.5
61,House,23500000,Askari,Lahore,4,For Sale,4,10.0
62,House,22500000,Bedian Road,Lahore,4,For Sale,4,20.0
64,House,39500000,Gulberg,Lahore,6,For Sale,6,10.0
65,House,27500000,Askari,Lahore,5,For Sale,4,12.0
66,House,40000000,Chaman Park,Lahore,3,For Sale,6,11.0
68,House,3200000,Chungi Amar Sadhu,Lahore,2,For Sale,3,3.0
69,House,21200000,Askari,Lahore,4,For Sale,3,10.0
70,House,23000000,Askari,Lahore,5,For Sale,4,10.0
71,House,21500000,Askari,Lahore,5,For Sale,4,10.0
72,House,21500000,Askari,Lahore,5,For Sale,4,10.0
73,House,40000000,Askari,Lahore,6,For Sale,5,20.0
74,House,26000000,Askari,Lahore,5,For Sale,4,10.0
75,House,21000000,Askari,Lahore,4,For Sale,4,10.0
76,House,23000000,Askari,Lahore,5,For Sale,4,10.0
77,House,23000000,Askari,Lahore,6,For Sale,5,10.0
80,House,5500000,Karim Park,Lahore,3,For Sale,3,2.5
82,House,12000000,Cantt,Lahore,6,For Sale,6,8.0
87,House,12000000,Al-Raheem Garden,Lahore,5,For Sale,5,6.0
88,House,40000000,EME Society,Lahore,7,For Sale,6,20.0
90,House,17000000,Mateen Avenue,Lahore,6,For Sale,5,9.7
92,House,17000000,Paragon City,Lahore,5,For Sale,5,10.0
93,House,25000000,IEP Engineers Town,Lahore,5,For Sale,4,18.0
94,House,8500000,Muslim Town,Faisalabad,5,For Sale,4,5.0
95,House,25000000,Millat Town,Faisalabad,6,For Sale,5,24.0
96,House,6000000,Raza Abad,Faisalabad,2,For Sale,4,2.5
98,House,13500000,Humak,Rawalpindi,4,For Sale,5,7.0
100,House,23000000,Bahria Town Rawalpindi,Rawalpindi,6,For Sale,6,10.0
101,House,9990000,Gulshan Abad,Rawalpindi,2,For Sale,3,10.0
102,House,22500000,Media Town,Rawalpindi,5,For Sale,5,12.0
104,House,9000000,Bahria Town Rawalpindi,Rawalpindi,4,For Sale,3,5.0
107,House,23000000,Bahria Town Rawalpindi,Rawalpindi,6,For Sale,5,12.0
108,House,39500000,Bahria Town Rawalpindi,Rawalpindi,7,For Sale,6,20.0
109,House,21000000,Bahria Town Rawalpindi,Rawalpindi,7,For Sale,5,10.0
110,House,37000000,Bahria Town Rawalpindi,Rawalpindi,5,For Sale,5,20.0
111,House,37000000,Bahria Town Rawalpindi,Rawalpindi,7,For Sale,6,20.0
112,House,37500000,Bahria Town Rawalpindi,Rawalpindi,7,For Sale,5,20.0
113,Flat,4800000,Bahria Town Rawalpindi,Rawalpindi,1,For Sale,1,3.8
114,House,35000000,Bahria Town Rawalpindi,Rawalpindi,5,For Sale,5,20.0
115,Penthouse,25000000,Bahria Town Rawalpindi,Rawalpindi,4,For Sale,4,10.0
116,Flat,7500000,Bahria Town Rawalpindi,Rawalpindi,2,For Sale,2,5.5
117,House,12800000,Bahria Town Rawalpindi,Rawalpindi,4,For Sale,4,7.0
118,House,5000000,Chakri Road,Rawalpindi,5,For Sale,6,5.0
119,House,22000000,Bahria Town Rawalpindi,Rawalpindi,6,For Sale,5,10.0
120,House,38000000,Bahria Town Rawalpindi,Rawalpindi,7,For Sale,6,20.0
121,House,18000000,Askari 14,Rawalpindi,4,For Sale,4,10.0
122,House,25000000,Askari 13,Rawalpindi,5,For Sale,4,10.0
123,House,30000000,Askari 12,Rawalpindi,6,For Sale,4,10.0
124,House,23000000,Askari 13,Rawalpindi,5,For Sale,4,10.0
126,House,32000000,Askari 14,Rawalpindi,5,For Sale,5,22.0
128,House,25000000,Askari 13,Rawalpindi,6,For Sale,5,10.0
129,House,6000000,Bahria Town Rawalpindi,Rawalpindi,2,For Sale,2,5.0
131,House,28000000,Askari 10,Rawalpindi,5,For Sale,5,10.0
132,House,5300000,Gulshan-e-Iqbal,Rawalpindi,3,For Sale,2,5.0
133,House,19900000,Shalley Valley,Rawalpindi,6,For Sale,6,10.0
134,House,15000000,Askari 13,Rawalpindi,4,For Sale,3,5.0
135,House,18000000,Askari 14,Rawalpindi,5,For Sale,4,10.0
136,House,24500000,Askari 13,Rawalpindi,5,For Sale,4,10.0
137,House,27000000,Askari 13,Rawalpindi,4,For Sale,4,10.0
138,House,18000000,Askari 13,Rawalpindi,3,For Sale,3,5.0
141,House,125000,Chaklala Scheme,Rawalpindi,5,For Rent,5,20.0
142,Upper Portion,33000,Bahria Town Rawalpindi,Rawalpindi,3,For Rent,3,10.0
143,House,110000,Bahria Town Rawalpindi,Rawalpindi,7,For Rent,6,20.0
144,House,60000,Bahria Town Rawalpindi,Rawalpindi,6,For Rent,5,10.0
145,Upper Portion,50000,Bahria Town Rawalpindi,Rawalpindi,3,For Rent,3,20.0
146,House,70000,Bahria Town Rawalpindi,Rawalpindi,5,For Rent,5,10.0
147,Flat,22000,Bahria Town Rawalpindi,Rawalpindi,2,For Rent,2,2.4
